source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/contact-us
https://www.mediamatters.org/	https://www.mediamatters.org/
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/pete-hegseth-says-something-doesnt-add-about-paul-pelosi-being-attacked
https://www.mediamatters.org/	https://www.mediamatters.org/matt-walsh/right-wing-media-promised-backlash-against-lgbtq-equality-would-fuel-midterm-tsunami
https://www.mediamatters.org/	https://www.mediamatters.org/newsmax/after-years-decrying-abortion-right-wing-media-now-look-other-way-bombshell-reporting
https://www.mediamatters.org/	https://www.mediamatters.org/elon-musk/musk-just-reinstated-dozen-previously-suspended-right-wing-twitter-accounts-day-after
https://www.mediamatters.org/	https://twitter.com/mmfa
https://www.mediamatters.org/	https://www.mediamatters.org/archives
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/medias-guide-covering-gun-violence
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-host-country-being-invaded
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/guns-public-safety
https://www.mediamatters.org/	https://www.mediamatters.org/lgbtq
https://www.mediamatters.org/	https://www.mediamatters.org/infowars/far-right-media-trumpet-conspiracy-theory-buffalo-and-uvalde-mass-shootings-were-false
https://www.mediamatters.org/	https://www.mediamatters.org/tim-pool/extremists-bigots-and-conspiracy-theorists-youtuber-tim-pools-2022-guests-review
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-laura-ingrahams-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/abortion-rights-and-reproductive-health
https://www.mediamatters.org/	https://www.mediamatters.org/candace-owens/candace-owens-defends-waving-confederate-flag-it-represents-element-history
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/50-ways-fox-news-reacted-uvalde-massacre-without-mentioning-access-guns
https://www.mediamatters.org/	https://www.mediamatters.org/#youtube
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://action.mediamatters.org/secure/donate2022
https://www.mediamatters.org/	https://www.mediamatters.org/#main-content
https://www.mediamatters.org/	https://www.mediamatters.org/corrections
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/tucker-carlson-accuses-volodymyr-zelensky-waging-war-against-christianity
https://www.mediamatters.org/	https://www.mediamatters.org/#video
https://www.mediamatters.org/	https://www.mediamatters.org/john-solomon/john-solomon-representative-trump-national-archives-many-his-claims-about-case-are
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/misinformer-year-tucker-carlson
https://www.mediamatters.org/	https://www.mediamatters.org/climate-energy
https://www.mediamatters.org/	https://www.youtube.com/channel/UC_70iWZ6ym2cglS_kv5YfmA
https://www.mediamatters.org/	https://www.mediamatters.org/about
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_kLIovnl8QCJlPBvkXTQrcACfZSX6lJBjmK0rVbpYMlM.css
https://www.mediamatters.org/	https://www.mediamatters.org/angelo-carusone/angelo-carusone-even-if-there-new-ceo-twitter-elon-musk-will-still-be-ultimate
https://www.mediamatters.org/	https://www.mediamatters.org/local-news/local-papers-fail-mention-kentuckians-support-abortion-access-ahead-anti-choice
https://www.mediamatters.org/	https://www.mediamatters.org/?page=0
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://www.mediamatters.org/take-action
